,Sentiment,SentimentText
0,0,                     is so sad for my APL friend.............
1,0,                   I missed the New Moon trailer...
3,0,          .. Omgaga. Im sooo  im gunna CRy. I've been at this dentist since 11.. I was suposed 2 just get a crown put on (30mins)...
4,0,         i think mi bf is cheating on me!!!       T_T
5,0,         or i just worry too much?        
7,0,       Sunny Again        Work Tomorrow  :-|       TV Tonight
10,0,      I must think about positive..
12,0,      this weekend has sucked so far
13,0,     jb isnt showing in australia any more!
14,0,     ok thats it you win.
15,0,    &lt;-------- This is the way i feel right now...
16,0,"    awhhe man.... I'm completely useless rt now. Funny, all I can do is twitter. http://myloc.me/27HX"
18,0,    HUGE roll of thunder just now...SO scary!!!!
19,0,    I just cut my beard off. It's only been growing for well over a year. I'm gonna start it over. @shaunamanu is happy in the meantime.
20,0,    Very sad about Iran.
21,0,    wompppp wompp
23,0,   &lt;---Sad level is 3. I was writing a massive blog tweet on Myspace and my comp shut down. Now it's all lost *lays in fetal position*
24,0,   ...  Headed to Hospitol : Had to pull out of the Golf Tourny in 3rd place!!!!!!!!!!! I Think I Re-Ripped something !!! Yeah THAT !!
25,0,   BoRinG   ): whats wrong with him??     Please tell me........   :-/
26,0,   can't be bothered. i wish i could spend the rest of my life just sat here and going to gigs. seriously.
27,0,"   Feeeling like shit right now. I really want to sleep, but nooo I have 3 hours of dancing and an art assignment to finish. "
29,0,   I didn't realize it was THAT deep. Geez give a girl a warning atleast!
30,0,   I hate it when any athlete appears to tear an ACL on live television.
31,0,   i miss you guys too     i think i'm wearing skinny jeans a cute sweater and heels   not really sure   what are you doing today
32,0,  -- Meet your Meat http://bit.ly/15SSCI
33,0,   My horsie is moving on Saturday morning.
34,0,   No Sat off...Need to work 6 days a week 
35,0,   Really Dont Like Doing my Room Its So Boring  Sick Of Doing My Wardrobe Out Cant Waiit Till I Have My Walk In One  Yay
36,0,"   SOX!     Floyd was great, but relievers need a scolding!"
37,0,   times by like a million
39,0,   what type of a spaz downloads a virus? my brother that's who :\ MSN is now fucked forever    :'(
40,0,  &amp;&amp;Fightiin Wiit The Babes...
42,0,  *enough said*
46,0,  @Spiral_galaxy @YMPtweet  it really makes me sad when i look at Muslims reality now
47,0, - All Time Low shall be my motivation for the rest of the week.
48,0,"  and the entertainment is over, someone complained properly..   @rupturerapture experimental you say? he should experiment with a melody"
49,0,  another year of Lakers .. That's neither magic nor fun ...
50,0,  baddest day eveer. 
53,0,  but i'm proud.
54,0,  congrats to helio though
55,0,  David must be hospitalized for five days end of July (palatine tonsils). I will probably never see Katie in concert. 
56,0,  friends are leaving me 'cause of this stupid love  http://bit.ly/ZoxZC
59,0,  Hand quilting it is then...
60,0,  hate u ...  leysh t9ar5 ... =((((((( ..
65,0, - I love you guys so much that it hurts. http://tumblr.com/xkh1z19us
66,0,  I miss Earl
67,0,  I miss New Jersey
68,0,"  I missed the first hour of SYTYCD last night, and I can't find it online!"
69,0,  I need a U2 fix NOW!
70,0,  I never thought I'd become second choice...
71,0,  I think I may be too friendly...lol... o well...
72,0,  I think Manuel (my Basil plant) only has days to live   
73,0,  I wanna be at home @ church...I wonder wht they are doing?
74,0,  i wanna make my own pizza
75,0,"  i want a 120gb harddrive, or a 37 inch tv, or a new guitar.  anyonefeeling generous?  =p   x"
76,0,  i want a hug
77,0,  I want Miley to tour Australia
78,0,  I wanted to sleep in this morning but a mean kid through a popsicle stick at me head. I wish I could fly away like those squirrels
79,0,  i was too slow to get $1 Up tix
80,0,"  I will send sunshine to Northern Ireland, are you going swimming today @kezbat"
81,0,  I wish I could go to T4 On The Beach :'(    Would be great to see @Shontelle_Layne &amp; @DanMerriweather   
82,0,"  i would be so much happier if the walls of my bedroom were painted white,"
83,0,  idk wat 2 do who can i trust me im sorry 4 all da pain i have caused nebody ima take dis time out 2 straighten myself out i luv yall
84,0,  I'm finding the intercept slope..and banging my head against the wall..Math brain heads come save me
86,0,  im sick  'cough cough'
87,0,  in cab headed to the airport!  going home.... &lt;christy&gt;
88,0,  In case I feel emo in camp (feeling a wee bit of it alr)...am bringing in the Human Rights Watch World Report 2009..hope it'll work
90,0,  jonas day is almost over... 
